street,length,notes,mass,amount
Zürichstrasse,254,high grass,4634.615384615385,980.7692307692307
Zürichstrasse,254,high grass,1728.5714285714287,442.85714285714283
Zürichstrasse,254,high grass,954.5454545454546,257.57575757575756
Witikonstrasse(Binz),351,NA,1800,374.35897435897436
Witikonstrasse(Binz),351,NA,1294.871794871795,371.7948717948718
Witikonerstrasse(Pfaffhausen),423,cut grass,2526.315789473684,710.5263157894736
Witikonerstrasse(Pfaffhausen),423,cut grass,2549.8154981549815,715.8671586715867
